VBELN,POSNR,BEZEI,BZIRK,CG_NAME,CITY_NAME,CUST_NAME,DISC_PERC,DISCOUNT,DRERZ,EDITION_NAME,FREE_COPY,GJAHR,GROSS_COPY,GROSS_VALUE,KDGRP,MANDT,MATNR,MONAT,NET_VALUE,ORD_DATE,PAID_COPY,PSTYV,PUB_NAME,PVA,RATE,ROUTE,SDIST_NAME,SGRP_NAME,SHIP_TO_PARTY,SOFF_NAME,SOLD_TO_PARTY,SPART,VGBEL,VKBUR,VKGRP,VKORG,VTWEG,ZCOO,ZLAO
132581012,10,JUNAGADH CITY,JNAGDH,Cir. Agent city,JUNAGADH,PATEL NEWS AGENCY,32,-14630.4,DV,JUNAGADH,0,2020,11430,45720,CC,100,VJUC200918,9,31089.6,9/18/2020,11430,JTAP,DIVYA BHASKAR,VJUC,4,JNGHCT,JUNAGADH,Circulation Local,10053608,Junagarh,10053608,NE,111332,JUNA,CRL,JUNA,DA,0,0
132581013,10,JUNAGADH IN HOUSE,JNAGDH,Staff File,JUNAGADH,STAFF FILE COPY,0,0,DV,JUNAGADH,4,2020,4,0,12,100,VJUC200918,9,0,9/18/2020,0,ZFOR,DIVYA BHASKAR,VJUC,0,JNINHO,JUNAGADH,Circulation Local,80002120,Junagarh,80002120,NE,63362,JUNA,CRL,JUNA,IH,0,0
132581014,10,JUNAGADH IN HOUSE,JNAGDH,Library/Store/Record,JUNAGADH,LIBRARY/STORE/RECORD ROOM,0,0,DV,JUNAGADH,12,2020,12,0,13,100,VJUC200918,9,0,9/18/2020,0,ZFOR,DIVYA BHASKAR,VJUC,0,JNINHO,JUNAGADH,Circulation Local,80002121,Junagarh,80002121,NE,63363,JUNA,CRL,JUNA,IH,0,0
132581015,10,JUNAGADH IN HOUSE,JNAGDH,Advt./Billing,JUNAGADH,ADVT BILLING DEPT,0,0,DV,JUNAGADH,24,2020,24,0,14,100,VJUC200918,9,0,9/18/2020,0,ZFOR,DIVYA BHASKAR,VJUC,0,JNINHO,JUNAGADH,Circulation Local,80002122,Junagarh,80002122,NE,63364,JUNA,CRL,JUNA,IH,0,0
132581016,10,JUNAGADH TO UNA,JNAGDH,Cir. Agent upcountry,KODINAR,MAHAKALI NEWS AGENCY,30,-2610,DV,JUNAGADH DAK,0,2020,2175,8700,CU,100,VJUD200918,9,6090,9/18/2020,2175,JTAP,DIVYA BHASKAR,VJUD,4,JNGUNA,JUNAGADH,Circulation Satelite,10000135,Junagarh,10000135,NE,63080,JUNA,CRU,JUNA,DA,0,0
132581017,10,JUNAGADH BUS PARCEL,JNAGDH,Cir. Agent upcountry,MANGROL,VISHAL NEWS AGENCY,27,-945,DV,JUNAGADH DAK,0,2020,875,3500,CU,100,VJUD200918,9,2555,9/18/2020,875,JTAP,DIVYA BHASKAR,VJUD,4,JNBSPR,JUNAGADH,Circulation Satelite,10000140,Junagarh,10000140,NE,63081,JUNA,CRU,JUNA,DA,0,0
132581018,10,JUNAGADH TO UNA,JNAGDH,Cir. Agent upcountry,TALALA,SOMNATH NEWS AGENCY,30,-1836,DV,JUNAGADH DAK,0,2020,1530,6120,CU,100,VJUD200918,9,4284,9/18/2020,1530,JTAP,DIVYA BHASKAR,VJUD,4,JNGUNA,JUNAGADH,Circulation Satelite,10000147,Junagarh,10000147,NE,63082,JUNA,CRU,JUNA,DA,0,0
132581019,10,JUNAGADH TO UNA,JNAGDH,Cir. Agent upcountry,UNA,MAHENDRA NEWS AGENCY,30,-4515.6,DV,JUNAGADH DAK,0,2020,3763,15052,CU,100,VJUD200918,9,10536.4,9/18/2020,3763,JTAP,DIVYA BHASKAR,VJUD,4,JNGUNA,JUNAGADH,Circulation Satelite,10000149,Junagarh,10000149,NE,63087,JUNA,CRU,JUNA,DA,0,0
132581020,10,JUNAGADH TO UNA,JNAGDH,Cir. Agent upcountry,RATANG,JITEN B PATHAK,27,-162,DV,JUNAGADH DAK,0,2020,150,600,CU,100,VJUD200918,9,438,9/18/2020,150,JTAP,DIVYA BHASKAR,VJUD,4,JNGUNA,JUNAGADH,Circulation Satelite,10019914,Junagarh,10019914,NE,63097,JUNA,CRU,JUNA,DA,0,0
132581021,10,JUNAGADH TO UNA,JNAGDH,Cir. Sub Agent,KESHARIYA,MOHANBHAI KANJIBHAI,30,-192,DV,JUNAGADH DAK,0,2020,160,640,CS,100,VJUD200918,9,448,9/18/2020,160,JTAP,DIVYA BHASKAR,VJUD,4,JNGUNA,JUNAGADH,Circulation Satelite,10022991,Junagarh,10000149,NE,63088,JUNA,CRU,JUNA,DA,0,0
132581022,10,JUNAGADH TO UNA,JNAGDH,Cir. Sub Agent,SIMASI,RAMESHBHAI,30,-234,DV,JUNAGADH DAK,0,2020,195,780,CS,100,VJUD200918,9,546,9/18/2020,195,JTAP,DIVYA BHASKAR,VJUD,4,JNGUNA,JUNAGADH,Circulation Satelite,10022992,Junagarh,10000149,NE,63089,JUNA,CRU,JUNA,DA,0,0
132581023,10,JUNAGADH TO SUTRAPADA VERAVAL,JNAGDH,Cir. Agent upcountry,CHORVAD,UTSAV NEWS AGENCY,27,-486,DV,JUNAGADH DAK,0,2020,450,1800,CU,100,VJUD200918,9,1314,9/18/2020,450,JTAP,DIVYA BHASKAR,VJUD,4,JNVERA,JUNAGADH,Circulation Satelite,10023567,Junagarh,10023567,NE,63098,JUNA,CRU,JUNA,DA,0,0
132581024,10,JUNAGADH TO UNA,JNAGDH,Cir. Agent upcountry,DIU,VISION NEWS AGENCY,27,-1053,DV,JUNAGADH DAK,0,2020,975,3900,CU,100,VJUD200918,9,2847,9/18/2020,975,JTAP,DIVYA BHASKAR,VJUD,4,JNGUNA,JUNAGADH,Circulation Satelite,10024740,Junagarh,10024740,NE,63100,JUNA,CRU,JUNA,DA,0,0
132581025,10,JUNAGADH TO UNA,JNAGDH,Cir. Agent upcountry,DOLASA,GAURAV NEWS AGENCY,27,-230.04,DV,JUNAGADH DAK,0,2020,213,852,CU,100,VJUD200918,9,621.96,9/18/2020,213,JTAP,DIVYA BHASKAR,VJUD,4,JNGUNA,JUNAGADH,Circulation Satelite,10025770,Junagarh,10025770,NE,63103,JUNA,CRU,JUNA,DA,0,0
132581026,10,JUNAGADH TO PORBANDAR,JNAGDH,Cir. Agent upcountry,MANAVADAR,NEW FLASH NEWS AGENCY,27,-1080,DV,JUNAGADH DAK,0,2020,1000,4000,CU,100,VJUD200918,9,2920,9/18/2020,1000,JTAP,DIVYA BHASKAR,VJUD,4,JNPBDR,JUNAGADH,Circulation Satelite,10025771,Junagarh,10025771,NE,63106,JUNA,CRU,JUNA,DA,0,0
132581027,10,JUNAGADH TO RAJULA,JNAGDH,Cir. Agent upcountry,VISAVADAR,GURKUPA NEWS AGENCY,27,-648,DV,JUNAGADH DAK,0,2020,600,2400,CU,100,VJUD200918,9,1752,9/18/2020,600,JTAP,DIVYA BHASKAR,VJUD,4,JNRAJU,JUNAGADH,Circulation Satelite,10025774,Junagarh,10025774,NE,63107,JUNA,CRU,JUNA,DA,0,0
132581028,10,JUNAGADH TO RAJULA,JNAGDH,Cir. Agent upcountry,VISAVADAR,SUPER NEWS AGENCY,27,-216,DV,JUNAGADH DAK,0,2020,200,800,CU,100,VJUD200918,9,584,9/18/2020,200,JTAP,DIVYA BHASKAR,VJUD,4,JNRAJU,JUNAGADH,Circulation Satelite,10025785,Junagarh,10025785,NE,63108,JUNA,CRU,JUNA,DA,0,0
132581029,10,JUNAGADH TO UNA,JNAGDH,Cir. Agent upcountry,SASNGIR,NAYNABEN B PANDYA,27,-91.8,DV,JUNAGADH DAK,0,2020,85,340,CU,100,VJUD200918,9,248.2,9/18/2020,85,JTAP,DIVYA BHASKAR,VJUD,4,JNGUNA,JUNAGADH,Circulation Satelite,10026098,Junagarh,10026098,NE,63111,JUNA,CRU,JUNA,DA,0,0
132581030,10,JUNAGADH TO RAJULA,JNAGDH,Cir. Agent upcountry,BILKHA,MANISH NEWS AGENCY,27,-270,DV,JUNAGADH DAK,0,2020,250,1000,CU,100,VJUD200918,9,730,9/18/2020,250,JTAP,DIVYA BHASKAR,VJUD,4,JNRAJU,JUNAGADH,Circulation Satelite,10026403,Junagarh,10026403,NE,63112,JUNA,CRU,JUNA,DA,0,0
132581031,10,JUNAGADH TO KOTDAPITHA-AMRELI,JNAGDH,Cir. Agent upcountry,VADAL,MAHADEV NEWS AGENCY,27,-567,DV,JUNAGADH DAK,0,2020,525,2100,CU,100,VJUD200918,9,1533,9/18/2020,525,JTAP,DIVYA BHASKAR,VJUD,4,JNARLI,JUNAGADH,Circulation Satelite,10026528,Junagarh,10026528,NE,63114,JUNA,CRU,JUNA,DA,0,0
132581032,10,JUNAGADH TO RAJULA,JNAGDH,Cir. Agent upcountry,KHADIYA,JAY NEWS AGENCY,27,-37.8,DV,JUNAGADH DAK,0,2020,35,140,CU,100,VJUD200918,9,102.2,9/18/2020,35,JTAP,DIVYA BHASKAR,VJUD,4,JNRAJU,JUNAGADH,Circulation Satelite,10026572,Junagarh,10026572,NE,63115,JUNA,CRU,JUNA,DA,0,0
132581033,10,JUNAGADH TO SUTRAPADA VERAVAL,JNAGDH,Cir. Agent upcountry,SUPASI,MAHAKALI NEWS AGENCY,27,-368.28,DV,JUNAGADH DAK,0,2020,341,1364,CU,100,VJUD200918,9,995.72,9/18/2020,341,JTAP,DIVYA BHASKAR,VJUD,4,JNVERA,JUNAGADH,Circulation Satelite,10026688,Junagarh,10026688,NE,63118,JUNA,CRU,JUNA,DA,0,0
132581034,10,JUNAGADH TO PORBANDAR,JNAGDH,Cir. Agent upcountry,BANTVA,MARUTI NEWS AGENCY,30,-1194,DV,JUNAGADH DAK,0,2020,995,3980,CU,100,VJUD200918,9,2786,9/18/2020,995,JTAP,DIVYA BHASKAR,VJUD,4,JNPBDR,JUNAGADH,Circulation Satelite,10027152,Junagarh,10027152,NE,63119,JUNA,CRU,JUNA,DA,0,0
132581035,10,JUNAGADH TO SUTRAPADA VERAVAL,JNAGDH,Cir. Agent upcountry,SIMAR,MANSUKHLAL H RAMKABIR,27,-172.8,DV,JUNAGADH DAK,0,2020,160,640,CU,100,VJUD200918,9,467.2,9/18/2020,160,JTAP,DIVYA BHASKAR,VJUD,4,JNVERA,JUNAGADH,Circulation Satelite,10027333,Junagarh,10027333,NE,63121,JUNA,CRU,JUNA,DA,0,0
132581036,10,JUNAGADH TO UNA,JNAGDH,Cir. Sub Agent,JAMVALA,MAHENDRA NEWS AGENCY,30,-102,DV,JUNAGADH DAK,0,2020,85,340,CS,100,VJUD200918,9,238,9/18/2020,85,JTAP,DIVYA BHASKAR,VJUD,4,JNGUNA,JUNAGADH,Circulation Satelite,10027447,Junagarh,10000149,NE,63090,JUNA,CRU,JUNA,DA,0,0
132581037,10,JUNAGADH TO UNA,JNAGDH,Cir. Sub Agent,BAGADU,JAY NEWS AGENCY(KHADIYA),27,-70.2,DV,JUNAGADH DAK,0,2020,65,260,CS,100,VJUD200918,9,189.8,9/18/2020,65,JTAP,DIVYA BHASKAR,VJUD,4,JNGUNA,JUNAGADH,Circulation Satelite,10027487,Junagarh,10026572,NE,63117,JUNA,CRU,JUNA,DA,0,0
132581038,10,JUNAGADH TO SUTRAPADA VERAVAL,JNAGDH,Cir. Agent upcountry,KAJLI,NILKANTH NEWS AGENCY,27,-207.36,DV,JUNAGADH DAK,0,2020,192,768,CU,100,VJUD200918,9,560.64,9/18/2020,192,JTAP,DIVYA BHASKAR,VJUD,4,JNVERA,JUNAGADH,Circulation Satelite,10028663,Junagarh,10028663,NE,63008,JUNA,CRU,JUNA,DA,0,0
132581039,10,JUNAGADH TO MADHAVPUR,JNAGDH,Cir. Agent upcountry,SAMADHIYALA,NARENDRA NEWS AGENCY,27,-81,DV,JUNAGADH DAK,0,2020,75,300,CU,100,VJUD200918,9,219,9/18/2020,75,JTAP,DIVYA BHASKAR,VJUD,4,JNMDPR,JUNAGADH,Circulation Satelite,10029560,Junagarh,10029560,NE,63011,JUNA,CRU,JUNA,DA,0,0
132581040,10,JUNAGADH TO MADHAVPUR,JNAGDH,Cir. Agent upcountry,ARNIYALA,SHRI RAM NEWS AGENCY,27,-64.8,DV,JUNAGADH DAK,0,2020,60,240,CU,100,VJUD200918,9,175.2,9/18/2020,60,JTAP,DIVYA BHASKAR,VJUD,4,JNMDPR,JUNAGADH,Circulation Satelite,10029561,Junagarh,10029561,NE,63012,JUNA,CRU,JUNA,DA,0,0
132581041,10,JUNAGADH TO UNA,JNAGDH,Cir. Agent upcountry,GHANTVAD,SASHIKANTBHAI V GHATECHA,27,-64.8,DV,JUNAGADH DAK,0,2020,60,240,CU,100,VJUD200918,9,175.2,9/18/2020,60,JTAP,DIVYA BHASKAR,VJUD,4,JNGUNA,JUNAGADH,Circulation Satelite,10030109,Junagarh,10030109,NE,63014,JUNA,CRU,JUNA,DA,0,0
132581042,10,JUNAGADH TO UNA,JNAGDH,Cir. Agent upcountry,DHAMLEJ,R.P.DALAVARI,27,-151.2,DV,JUNAGADH DAK,0,2020,140,560,CU,100,VJUD200918,9,408.8,9/18/2020,140,JTAP,DIVYA BHASKAR,VJUD,4,JNGUNA,JUNAGADH,Circulation Satelite,10031192,Junagarh,10031192,NE,63016,JUNA,CRU,JUNA,DA,0,0
132581043,10,JUNAGADH TO UNA,JNAGDH,Cir. Agent upcountry,MITYAZ,IJJAT NEWS AGENCY,27,-109.08,DV,JUNAGADH DAK,0,2020,101,404,CU,100,VJUD200918,9,294.92,9/18/2020,101,JTAP,DIVYA BHASKAR,VJUD,4,JNGUNA,JUNAGADH,Circulation Satelite,10031193,Junagarh,10031193,NE,63018,JUNA,CRU,JUNA,DA,0,0
132581044,10,JUNAGADH TO UNA,JNAGDH,Cir. Agent upcountry,AALIDAR,JAYSHREE NEWS AGENCY,27,-64.8,DV,JUNAGADH DAK,0,2020,60,240,CU,100,VJUD200918,9,175.2,9/18/2020,60,JTAP,DIVYA BHASKAR,VJUD,4,JNGUNA,JUNAGADH,Circulation Satelite,10031194,Junagarh,10031194,NE,63019,JUNA,CRU,JUNA,DA,0,0
132581045,10,JUNAGADH TO UNA,JNAGDH,Cir. Agent upcountry,HARMADIYA GIR,MANALI NEWS AGENCY,27,-59.4,DV,JUNAGADH DAK,0,2020,55,220,CU,100,VJUD200918,9,160.6,9/18/2020,55,JTAP,DIVYA BHASKAR,VJUD,4,JNGUNA,JUNAGADH,Circulation Satelite,10031195,Junagarh,10031195,NE,63020,JUNA,CRU,JUNA,DA,0,0
132581046,10,JUNAGADH TO UNA,JNAGDH,Cir. Sub Agent,MALGAV,GAURAV NEWS AGENCY,27,-140.4,DV,JUNAGADH DAK,0,2020,130,520,CS,100,VJUD200918,9,379.6,9/18/2020,130,JTAP,DIVYA BHASKAR,VJUD,4,JNGUNA,JUNAGADH,Circulation Satelite,10031616,Junagarh,10025770,NE,63104,JUNA,CRU,JUNA,DA,0,0
132581047,10,JUNAGADH TO PORBANDAR,JNAGDH,Cir. Sub Agent,SARADIYA,MARUTI NEWS AGENCY,30,-46.8,DV,JUNAGADH DAK,0,2020,39,156,CS,100,VJUD200918,9,109.2,9/18/2020,39,JTAP,DIVYA BHASKAR,VJUD,4,JNPBDR,JUNAGADH,Circulation Satelite,10032953,Junagarh,10027152,NE,63290,JUNA,CRU,JUNA,DA,0,0
132581048,10,JUNAGADH TO PORBANDAR,JNAGDH,Cir. Sub Agent,KHAMBHALA,MARUTI NEWS AGENCY,30,-28.8,DV,JUNAGADH DAK,0,2020,24,96,CS,100,VJUD200918,9,67.2,9/18/2020,24,JTAP,DIVYA BHASKAR,VJUD,4,JNPBDR,JUNAGADH,Circulation Satelite,10032954,Junagarh,10027152,NE,63291,JUNA,CRU,JUNA,DA,0,0
